DA_CAN_RESTR_FLAG,DA_CAN_RESTR_KEY,DA_CAN_RESTR_REMARK,DA_CAN_RESTR_TYPE,DA_FREE_RESTR_FLAG,DA_FREE_RESTR_KEY,DA_FREE_RESTR_REMARK,PARENT_STATUS_NUMBER,RESTRICTION_TYPE
,,,,F,43,SURVEY LINES:    000161.00 FS            L,0905403,FREE_FORM
,,,,F,44,005716.00 FE            L,0905403,FREE_FORM
,,,,F,45,BOTTOM HOLE # BH1,0905403,FREE_FORM
,,,,F,46,BH COUNTY: 245,0905403,FREE_FORM
,,,,F,47,SECTION:         BLOCK:           ABSTRACT: 16,0905403,FREE_FORM
,,,,F,48,"SURVEY NAME:     DEAN, S",0905403,FREE_FORM
,,,,F,49,LEASE LINES:     000490.00 FS            L,0905403,FREE_FORM
,,,,F,50,000700.00 FE            L,0905403,FREE_FORM
,,,,F,51,SURVEY LINES:    000161.00 FS            L,0905403,FREE_FORM
,,,,F,52,005716.00 FE            L,0905403,FREE_FORM
,,,,F,53,BOTTOM HOLE # BH1,0905403,FREE_FORM
,,,,F,54,BH COUNTY: 245,0905403,FREE_FORM
,,,,F,55,SECTION:         BLOCK:           ABSTRACT: 16,0905403,FREE_FORM
,,,,F,56,"SURVEY NAME:     DEAN, S",0905403,FREE_FORM
,,,,F,57,LEASE LINES:     000490.00 FS            L,0905403,FREE_FORM
,,,,F,58,000700.00 FE            L,0905403,FREE_FORM
,,,,F,59,SURVEY LINES:    000161.00 FS            L,0905403,FREE_FORM
,,,,F,60,005716.00 FE            L,0905403,FREE_FORM
,,,,F,61,BOTTOM HOLE # BH1,0905403,FREE_FORM
,,,,F,62,BH COUNTY: 245,0905403,FREE_FORM
,,,,F,63,SECTION:         BLOCK:           ABSTRACT: 16,0905403,FREE_FORM
,,,,F,64,"SURVEY NAME:     DEAN, S",0905403,FREE_FORM
,,,,F,65,LEASE LINES:     000490.00 FS            L,0905403,FREE_FORM
,,,,F,66,000700.00 FE            L,0905403,FREE_FORM
,,,,F,67,SURVEY LINES:    000161.00 FS            L,0905403,FREE_FORM
,,,,F,68,005716.00 FE            L,0905403,FREE_FORM
,02,,01,,,,0908369,CANNED
,03,,04,,,,0908369,CANNED
,04,,03,,,,0908369,CANNED
,05,,02,,,,0908369,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908369,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908369,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908369,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908369,FREE_FORM
,02,,01,,,,0908488,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908488,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908488,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908488,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908488,FREE_FORM
,,,,F,05,BOTTOM HOLE # BH1,0908488,FREE_FORM
,,,,F,06,BH COUNTY: 245,0908488,FREE_FORM
,,,,F,07,SECTION:         BLOCK:           ABSTRACT: 438,0908488,FREE_FORM
,,,,F,08,"SURVEY NAME:     DE LA GARZA, P",0908488,FREE_FORM
,,,,F,09,LEASE LINES:     001294.00 FNORTH        L,0908488,FREE_FORM
,,,,F,10,002202.00 FEAST         L,0908488,FREE_FORM
,,,,F,11,SURVEY LINES:    000593.00 FWEST         L,0908488,FREE_FORM
,,,,F,12,014366.00 FSOUTH        L,0908488,FREE_FORM
,02,,01,,,,0907803,CANNED
,03,,06,,,,0907803,CANNED
,04,,04,,,,0907803,CANNED
,05,,02,,,,0907803,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0907803,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0907803,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0907803,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0907803,FREE_FORM
,,,,F,05,NO ALLOWABLE WILL BE ASSIGNED UNTIL THE 1.03 ACRES DESCRIBED ON THIS P,0907803,FREE_FORM
,,,,F,06,ERMIT AS THE RR RADLEY LEASE HAS BEEN SUBDIVIDED OUT OF THE EXISTING G,0907803,FREE_FORM
,,,,F,07,"LADYS CITY LEASE (03-03963), WITH DOCUMENTATION SUBMITTED TO WELL COMP",0907803,FREE_FORM
,,,,F,08,"LIANCE, IN ORDER TO RESOLVE THE DOUBLE ASSIGNMENT OF ACREAGE ISSUE. IF",0907803,FREE_FORM
,,,,F,09,THE 1.03 ACRES DESCRIBED ON THIS PERMIT HAVE BEEN SUBDIVIDED OUT OF T,0907803,FREE_FORM
,,,,F,10,HE GLADYS CITY (03-03963) LEASE BY THE TIME THE COMPLETION PACKET FOR,0907803,FREE_FORM
,,,,F,11,"THIS WELL IS SUBMITTED, THEN THIS RESTRICTION IS NULL AND VOID.",0907803,FREE_FORM
,02,,01,,,,0908782,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908782,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908782,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908782,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908782,FREE_FORM
,02,,01,,,,0908684,CANNED
,03,,02,,,,0908684,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908684,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908684,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908684,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908684,FREE_FORM
,,,,F,05,LATERAL # TH1,0908684,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908684,FREE_FORM
,,,,F,07,LEASE LINES:     000265.00 FN            L,0908684,FREE_FORM
,,,,F,08,000803.00 FE            L,0908684,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908684,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908684,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 136,0908684,FREE_FORM
,,,,F,12,"SURVEY NAME:     HASKINS, F J",0908684,FREE_FORM
,,,,F,13,LEASE LINES:     000043.00 FS            L,0908684,FREE_FORM
,,,,F,14,000227.00 FE            L,0908684,FREE_FORM
,,,,F,15,SURVEY LINES:    003464.00 FS            L,0908684,FREE_FORM
,,,,F,16,005774.00 FE            L,0908684,FREE_FORM
,02,,01,,,,0908807,CANNED
,03,,02,,,,0908807,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908807,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908807,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908807,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908807,FREE_FORM
,,,,F,05,LATERAL # TH1,0908807,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908807,FREE_FORM
,,,,F,07,LEASE LINES:     000795.00 FSW           L,0908807,FREE_FORM
,,,,F,08,000759.00 FNW           L,0908807,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908807,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908807,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 86,0908807,FREE_FORM
,,,,F,12,"SURVEY NAME:     DUPREE, J B",0908807,FREE_FORM
,,,,F,13,LEASE LINES:     000066.00 FSE           L,0908807,FREE_FORM
,,,,F,14,000889.00 FSW           L,0908807,FREE_FORM
,,,,F,15,SURVEY LINES:    000936.00 FSW           L,0908807,FREE_FORM
,,,,F,16,000913.00 FNW           L,0908807,FREE_FORM
,02,,01,,,,0908647,CANNED
,03,,02,,,,0908647,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908647,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908647,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908647,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908647,FREE_FORM
,,,,F,05,LATERAL # TH1,0908647,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908647,FREE_FORM
,,,,F,07,LEASE LINES:     000350.00 FN            L,0908647,FREE_FORM
,,,,F,08,000495.00 FW            L,0908647,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908647,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908647,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 138,0908647,FREE_FORM
,,,,F,12,"SURVEY NAME:     HAMMOND, H P",0908647,FREE_FORM
,,,,F,13,LEASE LINES:     000520.00 FNE           L,0908647,FREE_FORM
,,,,F,14,000032.00 FS            L,0908647,FREE_FORM
,,,,F,15,SURVEY LINES:    004003.00 FN            L,0908647,FREE_FORM
,,,,F,16,002972.00 FE            L,0908647,FREE_FORM
,02,,01,,,,0908654,CANNED
,03,,02,,,,0908654,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908654,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908654,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908654,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908654,FREE_FORM
,,,,F,05,LATERAL # TH1,0908654,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908654,FREE_FORM
,,,,F,07,LEASE LINES:     000233.00 FN            L,0908654,FREE_FORM
,,,,F,08,002716.00 FSW           L,0908654,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908654,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908654,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 189,0908654,FREE_FORM
,,,,F,12,"SURVEY NAME:     MC LANE, N",0908654,FREE_FORM
,,,,F,13,LEASE LINES:     000251.00 FE            L,0908654,FREE_FORM
,,,,F,14,002378.00 FSW           L,0908654,FREE_FORM
,,,,F,15,SURVEY LINES:    003473.00 FE            L,0908654,FREE_FORM
,,,,F,16,006277.00 FN            L,0908654,FREE_FORM
,02,,01,,,,0908288,CANNED
,03,,02,,,,0908288,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908288,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908288,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908288,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908288,FREE_FORM
,,,,F,05,LATERAL # TH1,0908288,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908288,FREE_FORM
,,,,F,07,LEASE LINES:     000235.00 FE            L,0908288,FREE_FORM
,,,,F,08,003703.00 FN            L,0908288,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908288,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908288,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 136,0908288,FREE_FORM
,,,,F,12,"SURVEY NAME:     HASKINS, F J",0908288,FREE_FORM
,,,,F,13,LEASE LINES:     000150.00 FN            L,0908288,FREE_FORM
,,,,F,14,001769.00 FSW           L,0908288,FREE_FORM
,,,,F,15,SURVEY LINES:    000072.00 FN            L,0908288,FREE_FORM
,,,,F,16,004065.00 FE            L,0908288,FREE_FORM
,02,,01,,,,0908357,CANNED
,03,,02,,,,0908357,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908357,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908357,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908357,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908357,FREE_FORM
,,,,F,05,LATERAL # TH1,0908357,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908357,FREE_FORM
,,,,F,07,LEASE LINES:     000629.00 FNE           L,0908357,FREE_FORM
,,,,F,08,000925.00 FS            L,0908357,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908357,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908357,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 136,0908357,FREE_FORM
,,,,F,12,"SURVEY NAME:     HASKINS, F J",0908357,FREE_FORM
,,,,F,13,LEASE LINES:     000288.00 FN            L,0908357,FREE_FORM
,,,,F,14,001186.00 FW            L,0908357,FREE_FORM
,,,,F,15,SURVEY LINES:    000309.00 FN            L,0908357,FREE_FORM
,,,,F,16,001340.00 FW            L,0908357,FREE_FORM
,02,,01,,,,0908354,CANNED
,03,,02,,,,0908354,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908354,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908354,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908354,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908354,FREE_FORM
,,,,F,05,LATERAL # TH1,0908354,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908354,FREE_FORM
,,,,F,07,LEASE LINES:     000509.00 FSW           L,0908354,FREE_FORM
,,,,F,08,000664.00 FE            L,0908354,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908354,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908354,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 136,0908354,FREE_FORM
,,,,F,12,"SURVEY NAME:     HASKINS, F J",0908354,FREE_FORM
,,,,F,13,LEASE LINES:     000170.00 FN            L,0908354,FREE_FORM
,,,,F,14,000853.00 FSW           L,0908354,FREE_FORM
,,,,F,15,SURVEY LINES:    000188.00 FN            L,0908354,FREE_FORM
,,,,F,16,003037.00 FW            L,0908354,FREE_FORM
,02,,01,,,,0904687,CANNED
,03,,02,,,,0904687,CANNED
,,,,F,01,LATERAL # TH1,0904687,FREE_FORM
,,,,F,02,PENETRATION POINT LOCATION,0904687,FREE_FORM
,,,,F,03,LEASE LINES:     007236.00 FNE           L,0904687,FREE_FORM
,,,,F,04,004039.00 FN            L,0904687,FREE_FORM
,,,,F,05,TERMINUS LOCATION,0904687,FREE_FORM
,,,,F,06,BH COUNTY: 255,0904687,FREE_FORM
,,,,F,07,SECTION:         BLOCK:           ABSTRACT: 5,0904687,FREE_FORM
,,,,F,08,"SURVEY NAME:     MENCHACA, HRS L",0904687,FREE_FORM
,,,,F,09,LEASE LINES:     001751.00 FNE           L,0904687,FREE_FORM
,,,,F,10,002037.00 FNW           L,0904687,FREE_FORM
,,,,F,11,SURVEY LINES:    015138.00 FNE           L,0904687,FREE_FORM
,,,,F,12,004996.00 FNW           L,0904687,FREE_FORM
,02,,01,,,,0904689,CANNED
,03,,02,,,,0904689,CANNED
,,,,F,01,LATERAL # TH1,0904689,FREE_FORM
,,,,F,02,PENETRATION POINT LOCATION,0904689,FREE_FORM
,,,,F,03,LEASE LINES:     006756.00 FNE           L,0904689,FREE_FORM
,,,,F,04,003900.00 FN            L,0904689,FREE_FORM
,,,,F,05,TERMINUS LOCATION,0904689,FREE_FORM
,,,,F,06,BH COUNTY: 255,0904689,FREE_FORM
,,,,F,07,SECTION:         BLOCK:           ABSTRACT: 5,0904689,FREE_FORM
,,,,F,08,"SURVEY NAME:     MENCHACA, HRS L",0904689,FREE_FORM
,,,,F,09,LEASE LINES:     001380.00 FNE           L,0904689,FREE_FORM
,,,,F,10,002186.00 FNW           L,0904689,FREE_FORM
,,,,F,11,SURVEY LINES:    014761.00 FNE           L,0904689,FREE_FORM
,,,,F,12,005005.00 FNW           L,0904689,FREE_FORM
,02,,01,,,,0908534,CANNED
,03,,02,,,,0908534,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908534,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908534,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908534,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908534,FREE_FORM
,,,,F,05,LATERAL # TH1,0908534,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908534,FREE_FORM
,,,,F,07,LEASE LINES:     000244.00 FSW           L,0908534,FREE_FORM
,,,,F,08,000860.00 FS            L,0908534,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908534,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908534,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908534,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908534,FREE_FORM
,,,,F,13,LEASE LINES:     000409.00 FSW           L,0908534,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908534,FREE_FORM
,,,,F,15,SURVEY LINES:    005287.00 FNE           L,0908534,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908534,FREE_FORM
,02,,01,,,,0908536,CANNED
,03,,02,,,,0908536,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908536,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908536,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908536,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908536,FREE_FORM
,,,,F,05,LATERAL # TH1,0908536,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908536,FREE_FORM
,,,,F,07,LEASE LINES:     000806.00 FS            L,0908536,FREE_FORM
,,,,F,08,000726.00 FSW           L,0908536,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908536,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908536,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908536,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908536,FREE_FORM
,,,,F,13,LEASE LINES:     000843.00 FSW           L,0908536,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908536,FREE_FORM
,,,,F,15,SURVEY LINES:    004853.00 FNE           L,0908536,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908536,FREE_FORM
,02,,01,,,,0908540,CANNED
,03,,02,,,,0908540,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908540,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908540,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908540,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908540,FREE_FORM
,,,,F,05,LATERAL # TH1,0908540,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908540,FREE_FORM
,,,,F,07,LEASE LINES:     000892.00 FS            L,0908540,FREE_FORM
,,,,F,08,001076.00 FSW           L,0908540,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908540,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908540,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908540,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908540,FREE_FORM
,,,,F,13,LEASE LINES:     001172.00 FSW           L,0908540,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908540,FREE_FORM
,,,,F,15,SURVEY LINES:    004524.00 FNE           L,0908540,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908540,FREE_FORM
,02,,01,,,,0908541,CANNED
,03,,02,,,,0908541,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908541,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908541,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908541,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908541,FREE_FORM
,,,,F,05,LATERAL # TH1,0908541,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908541,FREE_FORM
,,,,F,07,LEASE LINES:     001088.00 FNE           L,0908541,FREE_FORM
,,,,F,08,000972.00 FSE           L,0908541,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908541,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908541,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908541,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908541,FREE_FORM
,,,,F,13,LEASE LINES:     001113.00 FNE           L,0908541,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908541,FREE_FORM
,,,,F,15,SURVEY LINES:    004109.00 FNE           L,0908541,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908541,FREE_FORM
,02,,01,,,,0908542,CANNED
,03,,02,,,,0908542,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908542,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908542,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908542,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908542,FREE_FORM
,,,,F,05,LATERAL # TH1,0908542,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908542,FREE_FORM
,,,,F,07,LEASE LINES:     000566.00 FNE           L,0908542,FREE_FORM
,,,,F,08,000971.00 FSE           L,0908542,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908542,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908542,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908542,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908542,FREE_FORM
,,,,F,13,LEASE LINES:     000637.00 FNE           L,0908542,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908542,FREE_FORM
,,,,F,15,SURVEY LINES:    003632.00 FNE           L,0908542,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908542,FREE_FORM
,02,,01,,,,0908544,CANNED
,03,,02,,,,0908544,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908544,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908544,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908544,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908544,FREE_FORM
,,,,F,05,LATERAL # TH1,0908544,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908544,FREE_FORM
,,,,F,07,LEASE LINES:     000243.00 FNE           L,0908544,FREE_FORM
,,,,F,08,001009.00 FSE           L,0908544,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908544,FREE_FORM
,,,,F,10,BH COUNTY: 255,0908544,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 140,0908544,FREE_FORM
,,,,F,12,"SURVEY NAME:     HERNANDEZ, J",0908544,FREE_FORM
,,,,F,13,LEASE LINES:     000288.00 FNE           L,0908544,FREE_FORM
,,,,F,14,000050.00 FNW           L,0908544,FREE_FORM
,,,,F,15,SURVEY LINES:    003283.00 FNE           L,0908544,FREE_FORM
,,,,F,16,000050.00 FNW           L,0908544,FREE_FORM
,02,,01,,,,0908545,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908545,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908545,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908545,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908545,FREE_FORM
,,,,F,05,LATERAL # TH1,0908545,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908545,FREE_FORM
,,,,F,07,LEASE LINES:     000539.00 FSW           L,0908545,FREE_FORM
,,,,F,08,000846.00 FS            L,0908545,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908545,FREE_FORM
